Keyword,Total
"Missing Alt-Text",7229
"Lack of Screen Reader Support",1957
"Lack of Proper Navigation",1766
"Missing label",1747
"Lack of Proper Keyboard Support",1262
"Redundant Links",834
"Broken Links",801
"Inaccessible Element",631
"Duplicate Titles",559
"Undefined Page Language",539
"Element without Title",467
"Incorrect Reading Sequence",382
"Mislabeled Buttons",362
"Missing Keyboard Focus Indicator",349
"Lack of Descriptive Heading",343
"Other accessibility issue",308
"UI element cannot be determined via program",296
"Lack of Descriptive Titles",291
"Missing Mechanism to Bypass Content",288
"Element contains duplicate IDs",287
