Industry,"Count of Industry Lawsuits",Filing_Year
"Consumer Durables & Apparel",631,2023
"Consumer Goods",536,2020
"Consumer Staples",503,2022
"Consumer Discretionary",414,2022
"Consumer Durables & Apparel",411,2019
"Consumer Goods",346,2019
"Consumer Durables & Apparel",329,2020
"Consumer Durables & Apparel",309,2021
"Consumer Discretionary",308,2021
"Consumer Staples",272,2021
Retailing,259,2023
Retailing,249,2022
"Consumer Durables & Apparel",245,2022
"Consumer Discretionary",178,2023
Retailing,128,2021
"Consumer Staples",113,2023
"Consumer Goods",107,2021
"Consumer Durables & Apparel",37,2024
Retailing,19,2024
"Consumer Goods",1,2018
"Consumer Durables & Apparel",1,2017
