Keyword,count,year
"Lack of Proper Keyboard Support",2,2016
"Missing Alt-Text",1,2016
"Missing Alt-Text",3,2018
"Missing Alt-Text",2813,2019
"Lack of Proper Navigation",599,2019
"Lack of Screen Reader Support",511,2019
"Lack of Proper Keyboard Support",323,2019
"Missing label",477,2019
"Lack of Screen Reader Support",935,2020
"Lack of Proper Keyboard Support",528,2020
"Missing label",1006,2020
"Missing Alt-Text",3334,2020
"Lack of Proper Navigation",667,2020
"Missing Alt-Text",1078,2021
"Lack of Proper Navigation",500,2021
"Lack of Proper Keyboard Support",409,2021
"Lack of Screen Reader Support",511,2021
"Missing label",264,2021
